source,target
4218,6739
4218,2676
4218,5262
4218,11117
4218,4059
4219,9900
4220,4587
4220,12923
4222,16764
4222,13515
4222,5965
4222,3148
4222,6731
4222,14749
4222,12204
4222,7008
4222,3255
4222,8436
4222,12254
4223,4831
4224,13270
4224,12095
4225,8369
4225,5096
4225,10284
4225,13456
4225,803
4225,8622
4225,6833
4225,1267
4225,1162
4225,8074
4225,4969
4225,6559
4225,14813
4227,9700
4227,4460
4227,15989
4227,10687
4228,3745
4228,8398
4229,7530
4230,2862
4230,13874
4230,5581
4230,3313
4231,3683
4231,10836
4231,6597
4232,13555
4232,8193
4233,13688
4234,1675
4234,2709
4234,2791
4236,10856
4236,7629
4239,1271
4239,16336
4239,13966
4240,14504
4241,15406
4242,13224
4243,2958
4246,8824
4246,8991
4246,14936
4246,9671
4246,3072
4247,8852
4247,4290
4249,9816
4251,5847
4251,6185
4251,15610
4251,3824
4252,5212
4254,16443
4254,14171
4255,464
4255,12492
4255,4507
4255,8805
4256,8842
4256,7387
4259,11832
4259,2070
4259,7198
4259,11126
4259,8085
4260,8592
4260,14870
4260,14464
4260,8829
4260,2970
4260,14924
4261,13767
4261,14317
4261,2445
4262,8840
4262,11093
4262,5750
4262,1442
4267,6651
4267,6013
4267,7762
4267,11206
4267,15216
4268,11600
4268,16280
4268,6429
4268,9629
4268,15220
4269,4362
4269,8381
4272,9714
4272,11735
4273,9084
4273,11837
4274,7625
4274,15139
4274,3867
4275,14352
4275,15519
4275,9018
4277,14739
4277,16049
4277,16628
4277,4182
4279,12834
4279,8478
4279,1786
4283,13991
4283,14127
4286,13348
4288,6787
4289,1569
4290,8852
4292,9288
4293,5293
4293,2138
4293,16723
4293,14092
4293,4818
4293,8189
4293,6229
4293,1537
4293,8921
4293,8909
4293,14195
4293,7031
4293,14671
4293,4685
4293,15574
4293,7617
4293,16408
4293,13322
4293,11712
4294,14455
4294,11358
4294,8854
4295,16217
4295,13981
4295,12567
4295,4606
4295,4090
4296,1563
4296,8049
4297,8305
4298,14844
4298,12791
4298,9449
4298,3104
4298,5829
4298,5024
4298,10944
4299,7602
4300,6964
4300,2878
4300,8680
4300,12378
4300,4743
4302,8742
4302,135
4302,10983
4302,5832
4302,9041
4302,142
4303,15600
4303,15161
4303,13409
4303,15390
4303,16277
4304,6332
4304,12575
4304,3130
4304,4566
4305,8562
4305,3925
4306,6463
4307,7355
4307,15452
4308,15126
4311,5543
4311,212
4312,2950
4314,1938
4314,5911
4314,16456
4314,1103
4314,6926
4315,2574
4315,7112
4315,9850
4315,14876
4315,4187
4316,6554
4316,6312
4316,12964
4316,7207
4316,9789
4317,14602
4317,12180
4317,8880
4318,2920
4318,12642
4318,1802
4318,13289
4318,8390
4318,11899
4318,14710
4318,16288
4319,13931
4320,12143
4320,812
4320,2228
4320,2079
4322,10291
4322,12756
4322,319
4322,12460
4322,7675
4324,10430
4324,283
4325,9022
4325,1232
4326,8378
4330,10596
4330,2807
4330,2555
4330,11387
4331,7630
4332,15979
4333,7262
4333,7206
4333,205
4333,12002
4334,15074
4334,9357
4334,13124
4334,5277
4334,7168
4334,13015
4334,9445
4334,9933
4334,3635
4334,11824
4334,5864
4334,7938
4335,13774
4338,16507
4339,8246
4340,14149
4340,11247
4341,8011
4341,3653
4341,14835
4341,5680
4341,16516
4342,8147
4342,11470
4343,10907
4343,1095
4345,13770
4345,4252
4345,1833
4345,5212
4348,11549
4350,14383
4350,1795
4350,8492
4350,7598
4350,4691
4350,12868
4350,6517
4350,2870
4350,4643
4350,5493
4350,12401
4350,3704
4350,16349
4350,533
4350,16427
4350,1859
4350,5994
4350,7971
4350,3783
4350,8410
4351,4092
4351,5868
4353,14597
4353,1184
4353,16676
4355,2603
4355,10719
4355,15745
4355,1033
4357,12739
4357,4479
4357,3988
4357,14125
4359,8859
4360,10314
4360,1000
4360,10128
4360,171
4360,16439
4360,11341
4360,9134
4360,15977
4362,15764
4362,11068
4362,10572
4362,13265
4362,557
4365,1595
4365,3828
4365,6091
4365,8413
4365,16297
4365,741
4366,1584
4366,12201
4368,4508
4370,15533
4370,11228
4370,12017
4371,16479
4371,8625
4371,13980
4371,1100
4371,5858
4372,2957
4372,12342
4374,2584
4376,13580
4376,16606
4376,1949
4376,4531
4376,7666
4376,8350
4377,8078
4377,6338
4377,8438
4377,1372
4378,2200
4378,562
4379,632
4379,6391
4379,11498
4379,13092
4379,15833
4380,3603
4380,9893
4380,14459
4380,15439
4380,798
4380,8137
4380,16684
4380,3633
4380,9358
4380,5646
4380,13408
4380,2007
4380,645
4380,11961
4380,9119
4380,7964
4380,14437
4380,12750
4380,6769
4380,2772
4380,8310
4380,14145
4380,14263
4380,14076
4380,2655
4380,7526
4381,3641
4381,9130
4381,12989
4382,3698
4383,14082
4383,7540
4383,14738
4383,12730
4383,12052
4384,12812
4384,6987
4385,16669
4385,16506
4386,12165
4387,10992
4390,2440
4392,13784
4392,3767
4393,386
4394,11597
4395,10318
4396,9375
4396,503
4396,16056
4396,2911
4396,3261
4397,938
4399,8431
4400,4910
4401,14971
4401,6209
4402,3345
4402,9917
4402,12276
4402,11605
4402,3039
4402,15189
4402,4829
4403,4635
4403,3290
4403,1928
4407,910
4407,6217
4407,926
4408,7464
4408,12509
4409,10088
4410,2608
4410,15799
4411,13043
4413,15257
4413,13895
4413,15571
4413,572
4413,2581
4413,968
4413,7014
4413,6169
4414,14329
4414,6060
4414,7756
4416,11853
4416,14009
4417,13494
4418,13327
4418,967
4420,3834
4420,13877
4420,16825
4421,1884
4421,14883
4422,4757
4423,12989
4423,3186
4423,4610
4423,6241
4423,8653
4423,9130
4424,13686
4424,10787
4424,258
4424,4585
4424,9542
4425,15643
4426,9749
4426,118
4427,13963
4427,13057
4427,11103
4427,3013
4429,11550
4429,784
4429,16800
4429,142
4429,13096
4429,3823
4429,13903
4429,750
4429,3275
4430,12562
4431,8448
4432,13553
4432,8207
4432,8236
4434,14765
4434,5869
4434,7525
4434,13010
4434,15889
4436,12818
4436,3621
4436,1828
4436,4386
4436,12165
4436,12166
4436,13484
4437,5987
4437,4964
4437,8027
4437,6527
4437,3148
4437,819
4438,10974
4438,14992
4438,16359
4438,303
4439,14031
4440,6011
4440,6003
4440,4036
4440,2296
4440,14494
4440,2752
4440,6277
4440,1260
4440,3721
4441,3811
4441,8276
4442,7742
4442,8568
4442,13749
4443,8674
4443,10736
4443,7036
4443,6984
4443,4004
4443,15096
4443,16194
4443,8038
4443,12885
4443,8307
4443,8718
4443,2111
4443,2355
4445,192
4445,9435
4447,7336
4448,9709
4448,1708
4448,11381
4448,2765
4448,13167
4448,4264
4448,14576
4449,8831
4449,699
4449,3932
4449,2440
4449,5179
4451,8475
4452,1511
4452,8019
4452,12057
4452,5698
4452,16237
4454,11987
4455,8303
4455,8121
4456,16485
4457,4701
4457,989
4458,8643
4458,15837
4459,397
4459,9909
4459,5194
4461,12627
4461,8655
4461,15476
4461,7739
4462,11097
4463,6534
4463,1680
4463,12378
4463,2174
4464,12203
4465,16143
4465,12602
4465,13025
4466,5808
4467,6223
4467,10701
4467,15276
4467,12349
4467,5149
4467,5755
4468,3180
4468,9247
4469,1922
4469,15913
4469,1365
4469,5846
4469,9396
4469,5066
4469,13751
4469,13556
4469,9986
4469,12707
4469,12846
4469,7105
4469,9130
4469,12989
4469,12607
4470,940
4474,12732
4476,15868
4476,13015
4476,11360
4476,2965
