id,label
0,0
1,1
2,0
3,0
4,0
5,1
6,1
7,0
8,1
9,1
10,0
11,1
12,0
13,0
14,1
15,1
16,0
17,0
18,1
19,0
20,0
21,1
22,0
23,0
24,1
25,1
26,0
27,1
28,0
29,1
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,1
40,1
41,0
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,1
52,0
53,0
54,1
55,1
56,1
57,0
58,0
59,1
60,1
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,1
69,1
70,1
71,0
72,0
73,0
74,0
75,1
76,1
77,0
78,0
79,1
80,1
81,1
82,1
83,0
84,1
85,1
86,0
87,1
88,0
89,1
90,1
91,1
92,1
93,1
94,0
95,1
96,1
97,0
98,1
99,0
100,1
101,1
102,0
103,0
104,1
105,0
106,0
107,1
108,1
109,0
110,0
111,0
112,1
113,1
114,0
115,0
116,1
117,1
118,1
119,1
120,0
121,1
122,0
123,0
124,0
125,0
126,0
127,0
128,1
129,1
130,0
131,1
132,0
133,0
134,1
135,1
136,1
137,0
138,1
139,0
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
149,1
150,1
151,0
152,1
153,0
154,1
155,1
156,0
157,0
158,1
159,0
160,0
161,0
162,0
163,1
164,0
165,1
166,0
167,0
168,0
169,1
170,0
171,1
172,0
173,0
174,1
175,0
176,1
177,0
178,1
179,1
180,0
181,0
182,0
183,0
184,1
185,1
186,1
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,0
195,1
196,1
197,0
198,0
199,0
200,1
201,0
202,0
203,1
204,0
205,0
206,1
207,1
208,1
209,0
210,1
211,0
212,1
213,0
214,1
215,0
216,1
217,1
218,0
219,0
220,0
221,0
222,0
223,1
224,0
225,0
226,0
227,1
228,1
229,0
230,1
231,0
232,0
233,1
234,0
235,1
236,1
237,1
238,1
239,1
240,1
241,0
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,1
255,1
256,1
257,0
258,1
259,1
260,0
261,1
262,0
263,1
264,1
265,0
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,0
274,1
275,0
276,0
277,1
278,1
279,1
280,1
281,1
282,1
283,0
284,1
285,0
286,0
287,1
288,0
289,0
290,1
291,1
292,1
293,1
294,0
295,0
296,0
297,0
298,1
299,0
300,1
301,0
302,0
303,0
304,1
305,1
306,0
307,0
308,1
309,0
310,0
311,1
312,1
313,0
314,1
315,0
316,0
317,0
318,1
319,1
320,0
321,0
322,0
323,1
324,0
325,1
326,0
327,0
328,0
329,1
330,1
331,0
332,1
333,1
334,1
335,1
336,1
337,0
338,1
339,0
340,1
341,0
342,1
343,1
344,0
345,1
346,1
347,1
348,1
349,0
350,1
351,0
352,1
353,0
354,0
355,0
356,0
357,1
358,0
359,1
360,0
361,1
362,0
363,1
364,1
365,1
366,0
367,1
368,0
369,0
370,1
371,0
372,0
373,0
374,1
375,0
376,0
377,1
378,1
379,1
380,1
381,0
382,0
383,1
384,0
385,1
386,1
387,0
388,0
389,1
390,1
391,0
392,0
393,0
394,1
395,1
396,0
397,1
398,0
399,1
400,0
401,0
402,1
403,1
404,1
405,1
406,1
407,0
408,0
409,1
410,1
411,1
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,1
420,0
421,1
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,1
431,1
432,1
433,1
434,0
435,0
436,1
437,0
438,0
439,0
440,1
441,1
442,0
443,0
444,0
445,1
446,1
447,0
448,1
449,0
450,0
451,0
452,1
453,0
454,0
455,1
456,0
457,1
458,0
459,0
460,0
461,0
462,0
463,1
464,1
465,1
466,1
467,1
468,0
469,1
470,1
471,0
472,1
473,1
474,0
475,1
476,1
477,0
478,0
479,0
480,1
481,0
482,0
483,1
484,1
485,0
486,0
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,0
495,1
496,0
497,1
498,1
499,0
500,0
501,0
502,0
503,0
504,1
505,0
506,1
507,1
508,1
509,1
510,1
511,0
512,0
513,0
514,1
515,1
516,1
517,1
518,1
519,0
520,0
521,1
522,0
523,0
524,1
525,1
526,0
527,0
528,0
529,0
530,1
531,1
532,1
533,0
534,0
535,1
536,1
537,0
538,1
539,1
540,0
541,1
542,1
543,0
544,1
545,0
546,1
547,0
548,1
549,0
550,1
551,1
552,0
553,0
554,1
555,0
556,1
557,1
558,0
559,0
560,0
561,1
562,1
563,1
564,0
565,0
566,1
567,0
568,0
569,0
570,1
571,0
572,0
573,0
574,0
575,1
576,0
577,0
578,1
579,0
580,1
581,0
582,0
583,1
584,0
585,1
586,0
587,1
588,1
589,1
590,1
591,1
592,0
593,1
594,1
595,1
596,1
597,0
598,0
599,0
600,1
601,1
602,0
603,0
604,0
605,1
606,0
607,1
608,0
609,0
610,0
611,0
612,1
613,0
614,0
615,1
616,1
617,1
618,0
619,1
620,0
621,0
622,1
623,0
624,1
625,1
626,0
627,1
628,0
629,1
630,1
631,1
632,0
633,0
634,1
635,1
636,1
637,0
638,0
639,0
640,0
641,1
642,0
643,0
644,1
645,1
646,0
647,0
648,1
649,1
650,0
651,1
652,1
653,0
654,0
655,1
656,0
657,1
658,1
659,1
660,1
661,0
662,1
663,0
664,1
665,1
666,1
667,0
668,0
669,1
670,0
671,1
672,1
673,1
674,0
675,1
676,1
677,0
678,0
679,1
680,0
681,1
682,0
683,0
684,0
685,1
686,0
687,1
688,1
689,1
690,1
691,0
692,0
693,1
694,1
695,1
696,0
697,1
698,1
699,1
700,1
701,0
702,0
703,0
704,1
705,0
706,0
707,0
708,1
709,0
710,0
711,1
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,1
723,0
724,1
725,0
726,1
727,1
728,1
729,1
730,0
731,1
732,0
733,1
734,0
735,1
736,0
737,0
738,0
739,1
740,0
741,1
742,1
743,1
744,0
745,0
746,0
747,1
748,0
749,1
750,0
751,1
752,1
753,1
754,1
755,0
756,1
757,1
758,1
759,1
760,0
761,1
762,1
763,1
764,0
765,1
766,1
767,1
768,1
769,0
770,0
771,1
772,0
773,1
774,1
775,1
776,0
777,1
778,1
779,0
780,0
781,0
782,0
783,0
784,1
785,0
786,1
787,1
788,1
789,0
790,0
791,0
792,0
793,0
794,0
795,1
796,0
797,1
798,0
799,0
800,0
801,0
802,0
803,0
804,1
805,0
806,1
807,0
808,1
809,0
810,0
811,0
812,1
813,1
814,1
815,1
816,0
817,1
818,1
819,1
820,1
821,0
822,0
823,0
824,0
825,1
826,0
827,0
828,0
829,0
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,0
838,0
839,0
840,1
841,1
842,1
843,1
844,1
845,1
846,0
847,1
848,1
849,0
850,0
851,0
852,0
853,1
854,0
855,0
856,0
857,1
858,0
859,1
860,0
861,0
862,1
863,0
864,0
865,0
866,1
867,1
868,0
869,0
870,1
871,0
872,0
873,1
874,0
875,0
876,1
877,0
878,0
879,1
880,1
881,0
882,0
883,1
884,1
885,0
886,1
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,1
895,1
896,0
897,0
898,0
899,0
900,0
901,1
902,0
903,1
904,0
905,1
906,0
907,0
908,0
909,1
910,0
911,1
912,0
913,1
914,1
915,0
916,0
917,0
918,1
919,1
920,0
921,0
922,0
923,0
924,0
925,1
926,1
927,0
928,0
929,0
930,1
931,0
932,0
933,0
934,1
935,1
936,0
937,0
938,0
939,1
940,0
941,0
942,0
943,1
944,0
945,1
946,1
947,1
948,1
949,0
950,1
951,0
952,1
953,0
954,0
955,0
956,0
957,0
958,0
959,1
960,0
961,0
962,0
963,0
964,1
965,1
966,1
967,0
968,1
969,1
970,0
971,1
972,0
973,0
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,0
982,1
983,0
984,0
985,1
986,0
987,1
988,0
989,1
990,0
991,1
992,1
993,1
994,1
995,0
996,0
997,1
998,1
999,1
1000,0
1001,1
1002,1
1003,0
1004,1
1005,1
1006,0
1007,0
1008,0
1009,1
1010,0
1011,1
1012,0
1013,1
1014,0
1015,0
1016,1
1017,1
1018,1
1019,0
1020,0
1021,1
1022,0
1023,1
1024,1
1025,1
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,1
1034,1
1035,0
1036,0
1037,1
1038,0
1039,0
1040,1
1041,0
1042,1
1043,0
1044,0
1045,0
1046,1
1047,1
1048,0
1049,1
1050,0
1051,0
1052,0
1053,1
1054,1
1055,0
1056,0
1057,1
1058,0
1059,0
1060,1
